date,confirmed,tests,deaths,recovered,active,confirmed_div_by_tests,deaths_div_by_confirmed,recovered_div_by_confirmed,confirmed_per_mil,tests_per_mil,deaths_per_mil,recovered_per_mil,active_per_mil
2020-02-11,0,61,0,0,0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0
2020-02-13,0,67,0,0,0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0
2020-02-14,0,71,0,0,0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
2020-02-19,0,95,0,0,0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0
2020-02-20,0,106,0,0,0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0
2020-02-24,0,116,0,0,0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0
2020-02-26,0,121,0,0,0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0
2020-03-02,0,160,0,0,0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0
2020-03-03,0,164,0,0,0,0.0,0.0,0.0,0.0,2.77,0.0,0.0,0.0
2020-03-05,1,164,0,0,1,0.006,0.0,0.0,0.02,2.77,0.0,0.0,0.02
2020-03-06,1,200,0,0,1,0.005,0.0,0.0,0.02,3.38,0.0,0.0,0.02
2020-03-07,2,241,0,0,2,0.008,0.0,0.0,0.03,4.07,0.0,0.0,0.03
2020-03-08,3,241,0,0,3,0.012,0.0,0.0,0.05,4.07,0.0,0.0,0.05
2020-03-09,7,241,0,0,7,0.029,0.0,0.0,0.12,4.07,0.0,0.0,0.12
2020-03-11,13,645,0,0,13,0.02,0.0,0.0,0.22,10.9,0.0,0.0,0.22
2020-03-12,16,848,0,0,16,0.019,0.0,0.0,0.27,14.33,0.0,0.0,0.27
2020-03-13,24,924,0,0,24,0.026,0.0,0.0,0.41,15.61,0.0,0.0,0.41
2020-03-14,38,1017,0,0,38,0.037,0.0,0.0,0.64,17.18,0.0,0.0,0.64
2020-03-15,51,1476,0,0,51,0.035,0.0,0.0,0.86,24.93,0.0,0.0,0.86
2020-03-16,62,2405,0,0,62,0.026,0.0,0.0,1.05,40.63,0.0,0.0,1.05
2020-03-17,85,2911,0,0,85,0.029,0.0,0.0,1.44,49.18,0.0,0.0,1.44
2020-03-18,116,3070,0,0,116,0.038,0.0,0.0,1.96,51.86,0.0,0.0,1.96
2020-03-19,150,4832,0,0,150,0.031,0.0,0.0,2.53,81.63,0.0,0.0,2.53
2020-03-20,202,6438,0,0,202,0.031,0.0,0.0,3.41,108.76,0.0,0.0,3.41
2020-03-21,240,7425,0,0,240,0.032,0.0,0.0,4.05,125.43,0.0,0.0,4.05
2020-03-22,274,9315,0,1,273,0.029,0.0,0.004,4.63,157.36,0.0,0.02,4.61
2020-03-23,402,12815,0,1,401,0.031,0.0,0.002,6.79,216.49,0.0,0.02,6.77
2020-03-24,554,15529,0,2,552,0.036,0.0,0.004,9.36,262.33,0.0,0.03,9.32
2020-03-25,709,15529,0,4,705,0.046,0.0,0.006,11.98,262.33,0.0,0.07,11.91
2020-03-26,927,20471,0,4,923,0.045,0.0,0.004,15.66,345.82,0.0,0.07,15.59
2020-03-27,1170,28537,1,31,1138,0.041,0.001,0.026,19.76,482.08,0.02,0.52,19.22
2020-03-28,1187,31963,2,31,1154,0.037,0.002,0.026,20.05,539.95,0.03,0.52,19.49
2020-03-29,1280,35593,2,31,1247,0.036,0.002,0.024,21.62,601.28,0.03,0.52,21.07
2020-03-30,1326,38409,3,31,1292,0.035,0.002,0.023,22.4,648.85,0.05,0.52,21.83
2020-03-31,1353,41072,5,31,1317,0.033,0.004,0.023,22.86,693.83,0.08,0.52,22.25
2020-04-01,1380,44292,5,31,1344,0.031,0.004,0.022,23.31,748.23,0.08,0.52,22.7
2020-04-02,1462,47965,5,45,1412,0.03,0.003,0.031,24.7,810.28,0.08,0.76,23.85
2020-04-03,1505,50361,9,45,1451,0.03,0.006,0.03,25.42,850.75,0.15,0.76,24.51
2020-04-04,1585,53937,9,45,1531,0.029,0.006,0.028,26.78,911.16,0.15,0.76,25.86
2020-04-05,1655,56873,11,45,1599,0.029,0.007,0.027,27.96,960.76,0.19,0.76,27.01
2020-04-06,1686,58098,12,45,1629,0.029,0.007,0.027,28.48,981.46,0.2,0.76,27.52
2020-04-07,1749,58098,13,45,1691,0.03,0.007,0.026,29.55,981.46,0.22,0.76,28.57
2020-04-08,1845,63776,18,45,1782,0.029,0.01,0.024,31.17,1077.38,0.3,0.76,30.1
2020-04-09,1934,68874,18,45,1871,0.028,0.009,0.023,32.67,1163.5,0.3,0.76,31.61
2020-04-10,2003,73028,24,410,1569,0.027,0.012,0.205,33.84,1233.67,0.41,6.93,26.51
2020-04-11,2028,75053,25,410,1593,0.027,0.012,0.202,34.26,1267.88,0.42,6.93,26.91
2020-04-12,2173,80085,25,410,1738,0.027,0.012,0.189,36.71,1352.88,0.42,6.93,29.36
2020-04-13,2272,83663,27,410,1835,0.027,0.012,0.18,38.38,1413.33,0.46,6.93,31.0
2020-04-14,2415,87022,27,410,1978,0.028,0.011,0.17,40.8,1470.07,0.46,6.93,33.41
2020-04-15,2506,90515,34,410,2062,0.028,0.014,0.164,42.33,1529.08,0.57,6.93,34.83
2020-04-16,2605,95060,48,903,1654,0.027,0.018,0.347,44.01,1605.86,0.81,15.25,27.94
2020-04-17,2783,100827,50,903,1830,0.028,0.018,0.324,47.01,1703.28,0.84,15.25,30.91
2020-04-18,3034,108201,52,903,2079,0.028,0.017,0.298,51.25,1827.85,0.88,15.25,35.12
2020-04-19,3158,114711,54,903,2201,0.028,0.017,0.286,53.35,1937.83,0.91,15.25,37.18
2020-04-20,3300,121510,58,1055,2187,0.027,0.018,0.32,55.75,2052.68,0.98,17.82,36.95
2020-04-21,3465,126937,58,1055,2352,0.027,0.017,0.304,58.53,2144.36,0.98,17.82,39.73
2020-04-22,3635,133774,65,1055,2515,0.027,0.018,0.29,61.41,2259.86,1.1,17.82,42.49
2020-04-23,3953,143570,75,1473,2405,0.028,0.019,0.373,66.78,2425.34,1.27,24.88,40.63
2020-04-24,4220,152390,79,1473,2668,0.028,0.019,0.349,71.29,2574.34,1.33,24.88,45.07
2020-04-25,4361,161004,86,1473,2802,0.027,0.02,0.338,73.67,2719.86,1.45,24.88,47.33
2020-04-26,4546,168643,87,1473,2986,0.027,0.019,0.324,76.8,2848.91,1.47,24.88,50.44
2020-04-27,4793,178470,90,1473,3230,0.027,0.019,0.307,80.97,3014.91,1.52,24.88,54.56
2020-04-28,4996,185497,93,1473,3430,0.027,0.019,0.295,84.4,3133.62,1.57,24.88,57.94
2020-04-29,5350,197127,103,2073,3174,0.027,0.019,0.387,90.38,3330.09,1.74,35.02,53.62
2020-04-30,5647,207530,103,2073,3471,0.027,0.018,0.367,95.4,3505.83,1.74,35.02,58.64
2020-05-01,5951,217522,116,2382,3453,0.027,0.019,0.4,100.53,3674.62,1.96,40.24,58.33
2020-05-02,6336,230686,123,2549,3664,0.027,0.019,0.402,107.03,3897.0,2.08,43.06,61.9
2020-05-03,6783,245747,131,2549,4103,0.028,0.019,0.376,114.59,4151.43,2.21,43.06,69.31
2020-05-04,7220,257541,138,2746,4336,0.028,0.019,0.38,121.97,4350.67,2.33,46.39,73.25
2020-05-05,7572,268064,148,2746,4678,0.028,0.02,0.363,127.91,4528.44,2.5,46.39,79.03
2020-05-06,7808,279379,153,3153,4502,0.028,0.02,0.404,131.9,4719.58,2.58,53.26,76.05
2020-05-07,8232,292153,161,3153,4918,0.028,0.02,0.383,139.06,4935.37,2.72,53.26,83.08
2020-05-08,8895,307752,178,3153,5564,0.029,0.02,0.354,150.26,5198.89,3.01,53.26,93.99
2020-05-09,9420,324079,186,3983,5251,0.029,0.02,0.423,159.13,5474.7,3.14,67.29,88.71
2020-05-10,10015,341336,194,4173,5648,0.029,0.019,0.417,169.18,5766.23,3.28,70.49,95.41
2020-05-11,10652,356067,206,4357,6089,0.03,0.019,0.409,179.95,6015.08,3.48,73.6,102.86
2020-05-12,11350,369697,206,4357,6787,0.031,0.018,0.384,191.74,6245.33,3.48,73.6,114.65
2020-05-13,12074,386352,219,4745,7110,0.031,0.018,0.393,203.97,6526.69,3.7,80.16,120.11
2020-05-14,12739,403018,238,5676,6825,0.032,0.019,0.446,215.2,6808.23,4.02,95.89,115.3
2020-05-15,13524,421555,247,6083,7194,0.032,0.018,0.45,228.46,7121.38,4.17,102.76,121.53
2020-05-16,14355,439559,261,6478,7616,0.033,0.018,0.451,242.5,7425.52,4.41,109.43,128.66
2020-05-17,15515,460873,264,7006,8245,0.034,0.017,0.452,262.1,7785.58,4.46,118.35,139.28
2020-05-18,16433,475071,286,7298,8849,0.035,0.017,0.444,277.6,8025.43,4.83,123.29,149.49
2020-05-19,17200,488609,312,7960,8928,0.035,0.018,0.463,290.56,8254.13,5.27,134.47,150.82
2020-05-20,18003,505861,339,8950,8714,0.036,0.019,0.497,304.13,8545.57,5.73,151.19,147.21
2020-05-21,19137,525433,369,8950,9818,0.036,0.019,0.468,323.28,8876.2,6.23,151.19,165.86
2020-05-22,20125,543032,397,10104,9624,0.037,0.02,0.502,339.97,9173.5,6.71,170.69,162.58
2020-05-23,21343,564370,407,10104,10832,0.038,0.019,0.473,360.55,9533.97,6.88,170.69,182.99
2020-05-24,22583,583855,429,11100,11054,0.039,0.019,0.492,381.5,9863.13,7.25,187.51,186.74
2020-05-25,23615,596777,481,11917,11217,0.04,0.02,0.505,398.93,10081.42,8.13,201.32,189.49
2020-05-26,24264,605991,524,12741,10999,0.04,0.022,0.525,409.89,10237.07,8.85,215.24,185.81
2020-05-27,25937,634996,552,13451,11934,0.041,0.021,0.519,438.16,10727.06,9.32,227.23,201.6
2020-05-28,27403,655723,577,14370,12456,0.042,0.021,0.524,462.92,11077.2,9.75,242.75,210.42
2020-05-29,29240,680175,611,15093,13536,0.043,0.021,0.516,493.95,11490.27,10.32,254.97,228.67
2020-05-30,30967,701883,643,16116,14208,0.044,0.021,0.52,523.13,11856.99,10.86,272.25,240.02
2020-05-31,32683,725125,683,16809,15191,0.045,0.021,0.514,552.12,12249.62,11.54,283.96,256.62
2020-06-01,34357,742742,705,17291,16361,0.046,0.021,0.503,580.4,12547.22,11.91,292.1,276.39
2020-06-02,35812,761534,755,18313,16744,0.047,0.021,0.511,604.98,12864.68,12.75,309.36,282.86
2020-06-03,37525,785979,792,19682,17051,0.048,0.021,0.525,633.91,13277.63,13.38,332.49,288.04
2020-06-04,40792,820675,848,21311,18633,0.05,0.021,0.522,689.1,13863.76,14.33,360.01,314.77
2020-06-05,43434,850871,908,23088,19438,0.051,0.021,0.532,733.74,14373.86,15.34,390.03,328.37
2020-06-06,45973,891668,952,24258,20763,0.052,0.021,0.528,776.63,15063.05,16.08,409.79,350.75
2020-06-07,48285,920064,998,24364,22923,0.052,0.021,0.505,815.68,15542.75,16.86,411.58,387.24
2020-06-08,50879,943059,1080,26099,23700,0.054,0.021,0.513,859.5,15931.2,18.24,440.89,400.37
2020-06-09,52991,968070,1162,29006,22823,0.055,0.022,0.547,895.18,16353.72,19.63,490.0,385.55
2020-06-10,55421,998400,1210,31505,22706,0.056,0.022,0.568,936.23,16866.08,20.44,532.22,383.58
2020-06-11,58568,1028399,1284,33252,24032,0.057,0.022,0.568,989.4,17372.86,21.69,561.73,405.98
2020-06-12,61927,1060425,1354,35008,25565,0.058,0.022,0.565,1046.14,17913.88,22.87,591.39,431.87
2020-06-13,65736,1087887,1423,36850,27463,0.06,0.022,0.561,1110.49,18377.8,24.04,622.51,463.94
2020-06-14,70038,1121958,1480,38531,30027,0.062,0.021,0.55,1183.16,18953.36,25.0,650.91,507.25
2020-06-15,73533,1148933,1568,39867,32098,0.064,0.021,0.542,1242.2,19409.06,26.49,673.48,542.24
2020-06-16,76334,1172513,1625,42063,32646,0.065,0.021,0.551,1289.52,19807.39,27.45,710.58,551.49
2020-06-17,80412,1207360,1674,44343,34395,0.067,0.021,0.551,1358.41,20396.07,28.28,749.09,581.04
2020-06-18,83890,1228098,1737,44920,37233,0.068,0.021,0.535,1417.16,20746.4,29.34,758.84,628.98
2020-06-19,87715,1260434,1831,47825,38059,0.07,0.021,0.545,1481.78,21292.65,30.93,807.91,642.93
2020-06-20,92681,1293608,1877,50326,40478,0.072,0.02,0.543,1565.67,21853.07,31.71,850.16,683.8
2020-06-21,97302,1328060,1930,51608,43764,0.073,0.02,0.53,1643.73,22435.07,32.6,871.82,739.31
2020-06-22,101590,1353176,1991,53444,46155,0.075,0.02,0.526,1716.17,22859.36,33.63,902.84,779.7
2020-06-23,106108,1382772,2101,55045,48962,0.077,0.02,0.519,1792.49,23359.32,35.49,929.88,827.12
2020-06-24,111796,1416894,2205,56874,52717,0.079,0.02,0.509,1888.58,23935.75,37.25,960.78,890.55
2020-06-25,118375,1460012,2292,59974,56109,0.081,0.019,0.507,1999.72,24664.15,38.72,1013.15,947.86
2020-06-26,124590,1493104,2340,64111,58139,0.083,0.019,0.515,2104.71,25223.17,39.53,1083.03,982.15
2020-06-27,131800,1529009,2413,67094,62293,0.086,0.018,0.509,2226.51,25829.72,40.76,1133.43,1052.32
2020-06-28,138134,1567084,2456,68925,66753,0.088,0.018,0.499,2333.51,26472.93,41.49,1164.36,1127.67
2020-06-29,144264,1596995,2529,70614,71121,0.09,0.018,0.489,2437.07,26978.22,42.72,1192.89,1201.46
2020-06-30,151209,1630008,2657,73543,75009,0.093,0.018,0.486,2554.39,27535.91,44.89,1242.37,1267.14
2020-07-01,159333,1666939,2749,76025,80559,0.096,0.017,0.477,2691.63,28159.79,46.44,1284.3,1360.89
2020-07-02,168061,1706127,2844,81999,83218,0.099,0.017,0.488,2839.07,28821.8,48.04,1385.22,1405.81
2020-07-03,177124,1745153,2952,86298,87874,0.101,0.017,0.487,2992.18,29481.07,49.87,1457.84,1484.47
2020-07-04,187977,1792078,3026,91227,93724,0.105,0.016,0.485,3175.52,30273.78,51.12,1541.11,1583.29
2020-07-05,196750,1830161,3199,93315,100236,0.108,0.016,0.474,3323.72,30917.12,54.04,1576.38,1693.3
2020-07-06,205721,1864111,3310,97848,104563,0.11,0.016,0.476,3475.27,31490.64,55.92,1652.96,1766.39
2020-07-07,215855,1907532,3502,102299,110054,0.113,0.016,0.474,3646.46,32224.15,59.16,1728.15,1859.15
2020-07-08,224665,1944399,3602,106842,114221,0.116,0.016,0.476,3795.29,32846.95,60.85,1804.89,1929.55
2020-07-09,238339,2000569,3720,113061,121558,0.119,0.016,0.474,4026.29,33795.84,62.84,1909.95,2053.49
2020-07-10,250687,2057232,3860,118232,128595,0.122,0.015,0.472,4234.88,34753.05,65.21,1997.31,2172.37
2020-07-11,264184,2108570,3971,127715,132498,0.125,0.015,0.483,4462.89,35620.31,67.08,2157.5,2238.3
2020-07-12,276242,2154391,4079,134874,137289,0.128,0.015,0.488,4666.59,36394.37,68.91,2278.44,2319.24
2020-07-13,287796,2194624,4172,138241,145383,0.131,0.014,0.48,4861.77,37074.03,70.48,2335.32,2455.97
2020-07-14,298292,2232738,4346,146279,147667,0.134,0.015,0.49,5039.08,37717.9,73.42,2471.11,2494.56
2020-07-15,311049,2278127,4453,160693,145903,0.137,0.014,0.517,5254.59,38484.66,75.23,2714.61,2464.76
2020-07-16,324221,2324923,4669,165591,153961,0.139,0.014,0.511,5477.1,39275.19,78.87,2797.35,2600.88
2020-07-17,337594,2373053,4804,178183,154607,0.142,0.014,0.528,5703.01,40088.25,81.15,3010.07,2611.79
2020-07-18,350879,2422741,4948,182230,163701,0.145,0.014,0.519,5927.44,40927.64,83.59,3078.43,2765.42
2020-07-19,364328,2471747,5033,191059,168236,0.147,0.014,0.524,6154.63,41755.5,85.02,3227.58,2842.03
2020-07-20,373628,2505646,5173,194865,173590,0.149,0.014,0.522,6311.74,42328.16,87.39,3291.88,2932.48
2020-07-21,381798,2536921,5368,208144,168286,0.15,0.014,0.545,6449.76,42856.49,90.68,3516.2,2842.87
2020-07-22,394948,2585474,5940,229175,159833,0.153,0.015,0.58,6671.9,43676.71,100.35,3871.48,2700.08
2020-07-23,408052,2632106,6093,236260,165699,0.155,0.015,0.579,6893.27,44464.46,102.93,3991.17,2799.17
2020-07-24,421996,2684488,6343,245771,169882,0.157,0.015,0.582,7128.83,45349.36,107.15,4151.84,2869.84
2020-07-25,434200,2730812,6655,263054,164491,0.159,0.015,0.606,7334.99,46131.92,112.42,4443.8,2778.77
2020-07-26,445433,2773778,6769,265077,173587,0.161,0.015,0.595,7524.75,46857.75,114.35,4477.98,2932.42
2020-07-27,452529,2802211,7067,274925,170537,0.161,0.016,0.608,7644.62,47338.07,119.38,4644.34,2880.9
2020-07-28,459761,2830635,7257,287313,165191,0.162,0.016,0.625,7766.79,47818.24,122.59,4853.61,2790.59
2020-07-29,471123,2873163,7497,297967,165659,0.164,0.016,0.632,7958.73,48536.67,126.65,5033.59,2798.5
2020-07-30,482169,2918049,7812,309601,164756,0.165,0.016,0.642,8145.34,49294.93,131.97,5230.12,2783.24
2020-07-31,493183,2959535,8005,326171,159007,0.167,0.016,0.661,8331.4,49995.76,135.23,5510.04,2686.12
