date,confirmed,tests,deaths,recovered,active
2020-02-11,0,61,0,0,0
2020-02-13,0,6,0,0,0
2020-02-14,0,4,0,0,0
2020-02-19,0,24,0,0,0
2020-02-20,0,11,0,0,0
2020-02-24,0,10,0,0,0
2020-02-26,0,5,0,0,0
2020-03-02,0,39,0,0,0
2020-03-03,0,4,0,0,0
2020-03-05,1,4,0,0,1
2020-03-06,1,36,0,0,0
2020-03-07,1,41,0,0,1
2020-03-08,1,41,0,0,1
2020-03-09,4,41,0,0,4
2020-03-11,6,404,0,0,6
2020-03-12,3,203,0,0,3
2020-03-13,8,76,0,0,8
2020-03-14,14,93,0,0,14
2020-03-15,13,459,0,0,13
2020-03-16,11,929,0,0,11
2020-03-17,23,506,0,0,23
2020-03-18,31,159,0,0,31
2020-03-19,34,1762,0,0,34
2020-03-20,52,1606,0,0,52
2020-03-21,38,987,0,0,38
2020-03-22,34,1890,0,1,33
2020-03-23,128,3500,0,0,128
2020-03-24,152,2714,0,1,151
2020-03-25,155,0,0,2,153
2020-03-26,218,4942,0,0,218
2020-03-27,243,8066,1,27,215
2020-03-28,17,3426,1,0,16
2020-03-29,93,3630,1,0,93
2020-03-30,46,2816,1,0,45
2020-03-31,27,2663,2,0,25
2020-04-01,27,3220,2,0,27
2020-04-02,82,3673,2,14,68
2020-04-03,43,2396,4,0,39
2020-04-04,80,3576,4,0,80
2020-04-05,70,2936,2,0,68
2020-04-06,31,1225,1,0,30
2020-04-07,63,0,1,0,62
2020-04-08,96,5678,5,0,91
2020-04-09,89,5098,0,0,89
2020-04-10,69,4154,6,365,-302
2020-04-11,25,2025,1,0,24
2020-04-12,145,5032,0,0,145
2020-04-13,99,3578,2,0,97
2020-04-14,143,3359,0,0,143
2020-04-15,91,3493,7,0,84
2020-04-16,99,4545,14,493,-408
2020-04-17,178,5767,2,0,176
2020-04-18,251,7374,2,0,249
2020-04-19,124,6510,2,0,122
2020-04-20,142,6799,4,152,-14
2020-04-21,165,5427,0,0,165
2020-04-22,170,6837,7,0,163
2020-04-23,318,9796,10,418,-110
2020-04-24,267,8820,4,0,263
2020-04-25,141,8614,7,0,134
2020-04-26,185,7639,1,0,184
2020-04-27,247,9827,3,0,244
2020-04-28,203,7027,3,0,200
2020-04-29,354,11630,10,600,-256
2020-04-30,297,10403,0,0,297
2020-05-01,304,9992,13,309,-18
2020-05-02,385,13164,7,167,211
2020-05-03,447,15061,8,0,439
2020-05-04,437,11794,7,197,233
2020-05-05,352,10523,10,0,342
2020-05-06,236,11315,5,407,-176
2020-05-07,424,12774,8,0,416
2020-05-08,663,15599,17,0,646
2020-05-09,525,16327,8,830,-313
2020-05-10,595,17257,8,190,397
2020-05-11,637,14731,12,184,441
2020-05-12,698,13630,0,0,698
2020-05-13,724,16655,13,388,323
2020-05-14,665,16666,19,931,-285
2020-05-15,785,18537,9,407,369
2020-05-16,831,18004,14,395,422
2020-05-17,1160,21314,3,528,629
2020-05-18,918,14198,22,292,604
2020-05-19,767,13538,26,662,79
2020-05-20,803,17252,27,990,-214
2020-05-21,1134,19572,30,0,1104
2020-05-22,988,17599,28,1154,-194
2020-05-23,1218,21338,10,0,1208
2020-05-24,1240,19485,22,996,222
2020-05-25,1032,12922,52,817,163
2020-05-26,649,9214,43,824,-218
2020-05-27,1673,29005,28,710,935
2020-05-28,1466,20727,25,919,522
2020-05-29,1837,24452,34,723,1080
2020-05-30,1727,21708,32,1023,672
2020-05-31,1716,23242,40,693,983
2020-06-01,1674,17617,22,482,1170
2020-06-02,1455,18792,50,1022,383
2020-06-03,1713,24445,37,1369,307
2020-06-04,3267,34696,56,1629,1582
2020-06-05,2642,30196,60,1777,805
2020-06-06,2539,40797,44,1170,1325
2020-06-07,2312,28396,46,106,2160
2020-06-08,2594,22995,82,1735,777
2020-06-09,2112,25011,82,2907,-877
2020-06-10,2430,30330,48,2499,-117
2020-06-11,3147,29999,74,1747,1326
2020-06-12,3359,32026,70,1756,1533
2020-06-13,3809,27462,69,1842,1898
2020-06-14,4302,34071,57,1681,2564
2020-06-15,3495,26975,88,1336,2071
2020-06-16,2801,23580,57,2196,548
2020-06-17,4078,34847,49,2280,1749
2020-06-18,3478,20738,63,577,2838
2020-06-19,3825,32336,94,2905,826
2020-06-20,4966,33174,46,2501,2419
2020-06-21,4621,34452,53,1282,3286
2020-06-22,4288,25116,61,1836,2391
2020-06-23,4518,29596,110,1601,2807
