date,district,cum_no,daily_no
2020-04-10,Ekurhuleni,120,120
2020-04-11,Ekurhuleni,141,21
2020-04-12,Ekurhuleni,141,0
2020-04-13,Ekurhuleni,148,7
2020-04-14,Ekurhuleni,148,0
2020-04-15,Ekurhuleni,161,13
2020-04-16,Ekurhuleni,180,19
2020-04-17,Ekurhuleni,196,16
2020-04-18,Ekurhuleni,223,27
2020-04-19,Ekurhuleni,233,10
2020-04-20,Ekurhuleni,246,13
2020-04-21,Ekurhuleni,257,11
2020-04-22,Ekurhuleni,265,8
2020-04-23,Ekurhuleni,268,3
2020-04-24,Ekurhuleni,276,8
2020-04-25,Ekurhuleni,287,11
2020-04-26,Ekurhuleni,297,10
2020-04-27,Ekurhuleni,300,3
2020-04-28,Ekurhuleni,310,10
2020-04-29,Ekurhuleni,318,8
2020-04-30,Ekurhuleni,319,1
2020-05-01,Ekurhuleni,328,9
2020-05-02,Ekurhuleni,349,21
2020-05-03,Ekurhuleni,358,9
2020-05-04,Ekurhuleni,360,2
2020-05-05,Ekurhuleni,366,6
2020-05-06,Ekurhuleni,370,4
2020-05-07,Ekurhuleni,398,28
2020-05-08,Ekurhuleni,402,4
2020-05-09,Ekurhuleni,426,24
2020-05-10,Ekurhuleni,435,9
2020-05-11,Ekurhuleni,438,3
2020-05-12,Ekurhuleni,448,10
2020-05-13,Ekurhuleni,456,8
2020-05-14,Ekurhuleni,460,4
2020-05-15,Ekurhuleni,477,17
2020-05-16,Ekurhuleni,488,11
2020-05-17,Ekurhuleni,488,0
2020-05-18,Ekurhuleni,527,39
2020-05-19,Ekurhuleni,538,11
2020-05-20,Ekurhuleni,549,11
2020-05-21,Ekurhuleni,551,2
2020-05-22,Ekurhuleni,565,14
2020-05-23,Ekurhuleni,579,14
2020-05-24,Ekurhuleni,606,27
2020-05-25,Ekurhuleni,639,33
2020-05-26,Ekurhuleni,642,3
2020-05-27,Ekurhuleni,667,25
2020-05-28,Ekurhuleni,693,26
2020-05-29,Ekurhuleni,732,39
2020-05-30,Ekurhuleni,770,38
2020-05-31,Ekurhuleni,825,55
2020-06-01,Ekurhuleni,868,43
2020-06-02,Ekurhuleni,887,19
2020-06-03,Ekurhuleni,937,50
2020-06-04,Ekurhuleni,989,52
2020-06-05,Ekurhuleni,1067,78
2020-06-06,Ekurhuleni,1140,73
2020-06-07,Ekurhuleni,1206,66
2020-06-08,Ekurhuleni,1243,37
2020-06-09,Ekurhuleni,1288,45
2020-06-10,Ekurhuleni,1384,96
2020-06-11,Ekurhuleni,1525,141
2020-06-12,Ekurhuleni,1710,185
2020-06-13,Ekurhuleni,1961,251
2020-06-14,Ekurhuleni,2234,273
2020-06-15,Ekurhuleni,2443,209
2020-06-16,Ekurhuleni,2592,149
2020-06-17,Ekurhuleni,2970,378
2020-06-18,Ekurhuleni,3192,222
2020-06-19,Ekurhuleni,3492,300
2020-06-20,Ekurhuleni,3830,338
2020-06-21,Ekurhuleni,4168,338
2020-06-22,Ekurhuleni,4499,331
2020-06-23,Ekurhuleni,4857,358
2020-06-24,Ekurhuleni,5377,520
2020-06-25,Ekurhuleni,5938,561
2020-06-26,Ekurhuleni,6563,625
2020-06-27,Ekurhuleni,7196,633
2020-06-28,Ekurhuleni,7810,614
2020-06-29,Ekurhuleni,8429,619
2020-06-30,Ekurhuleni,9192,763
2020-07-01,Ekurhuleni,9845,653
2020-07-02,Ekurhuleni,10797,952
2020-07-03,Ekurhuleni,11827,1030
2020-07-04,Ekurhuleni,13075,1248
2020-07-05,Ekurhuleni,14080,1005
2020-07-06,Ekurhuleni,14848,768
2020-07-07,Ekurhuleni,15807,959
2020-07-08,Ekurhuleni,16626,819
