date,province,cum_no,daily_no,cum_no_perc_pop,daily_no_perc_pop
2020-03-05,EC,0,0,0.0,0.0
2020-03-07,EC,0,0,0.0,0.0
2020-03-08,EC,0,0,0.0,0.0
2020-03-09,EC,0,0,0.0,0.0
2020-03-11,EC,0,0,0.0,0.0
2020-03-12,EC,0,0,0.0,0.0
2020-03-13,EC,0,0,0.0,0.0
2020-03-14,EC,0,0,0.0,0.0
2020-03-15,EC,0,0,0.0,0.0
2020-03-16,EC,0,0,0.0,0.0
2020-03-17,EC,0,0,0.0,0.0
2020-03-18,EC,0,0,0.0,0.0
2020-03-19,EC,0,0,0.0,0.0
2020-03-20,EC,0,0,0.0,0.0
2020-03-21,EC,1,1,0.0,0.0
2020-03-22,EC,2,1,0.0,0.0
2020-03-23,EC,2,0,0.0,0.0
2020-03-24,EC,2,0,0.0,0.0
2020-03-25,EC,2,0,0.0,0.0
2020-03-26,EC,5,3,0.0,0.0
2020-03-28,EC,10,5,0.0,0.0
2020-03-29,EC,12,2,0.0,0.0
2020-03-30,EC,12,0,0.0,0.0
2020-03-31,EC,12,0,0.0,0.0
2020-04-01,EC,15,3,0.0,0.0
2020-04-02,EC,17,2,0.0,0.0
2020-04-03,EC,21,4,0.0,0.0
2020-04-04,EC,25,4,0.0,0.0
2020-04-05,EC,31,6,0.0,0.0
2020-04-06,EC,32,1,0.0,0.0
2020-04-08,EC,45,13,0.001,0.0
2020-04-09,EC,61,16,0.001,0.0
2020-04-10,EC,68,7,0.001,0.0
2020-04-11,EC,69,1,0.001,0.0
2020-04-12,EC,88,19,0.001,0.0
2020-04-13,EC,104,16,0.002,0.0
2020-04-14,EC,174,70,0.003,0.001
2020-04-15,EC,199,25,0.003,0.0
2020-04-16,EC,220,21,0.003,0.0
2020-04-17,EC,246,26,0.004,0.0
2020-04-18,EC,270,24,0.004,0.0
2020-04-19,EC,293,23,0.004,0.0
2020-04-20,EC,310,17,0.005,0.0
2020-04-21,EC,345,35,0.005,0.001
2020-04-22,EC,377,32,0.006,0.0
2020-04-23,EC,417,40,0.006,0.001
2020-04-24,EC,480,63,0.007,0.001
2020-04-25,EC,488,8,0.007,0.0
2020-04-26,EC,535,47,0.008,0.001
2020-04-27,EC,588,53,0.009,0.001
2020-04-28,EC,616,28,0.009,0.0
2020-04-29,EC,630,14,0.009,0.0
2020-04-30,EC,647,17,0.01,0.0
2020-05-01,EC,691,44,0.01,0.001
2020-05-02,EC,732,41,0.011,0.001
2020-05-03,EC,774,42,0.012,0.001
2020-05-04,EC,814,40,0.012,0.001
2020-05-05,EC,838,24,0.012,0.0
2020-05-06,EC,849,11,0.013,0.0
2020-05-07,EC,929,80,0.014,0.001
2020-05-08,EC,989,60,0.015,0.001
2020-05-09,EC,1078,89,0.016,0.001
2020-05-10,EC,1218,140,0.018,0.002
