date,cum_deaths,daily_deaths
2020-03-27,1,1.0
2020-03-28,2,1.0
2020-03-30,3,1.0
2020-03-31,5,2.0
2020-04-03,9,4.0
2020-04-05,11,2.0
2020-04-06,12,1.0
2020-04-07,13,1.0
2020-04-08,18,5.0
2020-04-09,18,0.0
2020-04-10,24,6.0
2020-04-11,25,1.0
2020-04-12,25,0.0
2020-04-13,27,2.0
2020-04-14,27,0.0
2020-04-15,34,7.0
2020-04-16,48,14.0
2020-04-17,50,2.0
2020-04-18,52,2.0
2020-04-19,54,2.0
2020-04-20,58,4.0
2020-04-21,58,0.0
2020-04-22,65,7.0
2020-04-23,75,10.0
2020-04-24,79,4.0
2020-04-25,86,7.0
2020-04-26,87,1.0
2020-04-27,90,3.0
2020-04-28,93,3.0
2020-04-29,103,10.0
2020-04-30,103,0.0
2020-05-01,116,13.0
2020-05-02,123,7.0
2020-05-03,131,8.0
2020-05-04,138,7.0
