date,cumulative_cases,daily_cases
2020-03-05,1,1.0
2020-03-07,2,1.0
2020-03-08,3,1.0
2020-03-09,7,4.0
2020-03-11,13,6.0
2020-03-12,16,3.0
2020-03-13,24,8.0
2020-03-14,38,14.0
2020-03-15,51,13.0
2020-03-16,62,11.0
2020-03-17,85,23.0
2020-03-18,116,31.0
2020-03-19,150,34.0
2020-03-20,202,52.0
2020-03-21,240,38.0
2020-03-22,274,34.0
2020-03-23,402,128.0
2020-03-24,554,152.0
2020-03-25,709,155.0
2020-03-26,927,218.0
2020-03-27,1170,243.0
2020-03-28,1187,17.0
2020-03-29,1280,93.0
2020-03-30,1326,46.0
2020-03-31,1353,27.0
2020-04-01,1380,27.0
2020-04-02,1462,82.0
2020-04-03,1505,43.0
2020-04-04,1585,80.0
2020-04-05,1655,70.0
2020-04-06,1686,31.0
2020-04-07,1749,63.0
2020-04-08,1845,96.0
2020-04-09,1934,89.0
2020-04-10,2003,69.0
2020-04-11,2028,25.0
2020-04-12,2173,145.0
2020-04-13,2272,99.0
2020-04-14,2415,143.0
2020-04-15,2506,91.0
2020-04-16,2605,99.0
2020-04-17,2783,178.0
2020-04-18,3034,251.0
2020-04-19,3158,124.0
2020-04-20,3300,142.0
2020-04-21,3465,165.0
2020-04-22,3635,170.0
2020-04-23,3953,318.0
2020-04-24,4220,267.0
2020-04-25,4361,141.0
2020-04-26,4546,185.0
2020-04-27,4793,247.0
2020-04-28,4996,203.0
2020-04-29,5350,354.0
2020-04-30,5647,297.0
2020-05-01,5951,304.0
2020-05-02,6336,385.0
