date,province,cumulative_cases,daily_cases
2020-03-05,Eastern Cape,0.0,0.0
2020-03-07,Eastern Cape,0.0,0.0
2020-03-08,Eastern Cape,0.0,0.0
2020-03-09,Eastern Cape,0.0,0.0
2020-03-11,Eastern Cape,0.0,0.0
2020-03-12,Eastern Cape,0.0,0.0
2020-03-13,Eastern Cape,0.0,0.0
2020-03-14,Eastern Cape,0.0,0.0
2020-03-15,Eastern Cape,0.0,0.0
2020-03-16,Eastern Cape,0.0,0.0
2020-03-17,Eastern Cape,0.0,0.0
2020-03-18,Eastern Cape,0.0,0.0
2020-03-19,Eastern Cape,0.0,0.0
2020-03-20,Eastern Cape,0.0,0.0
2020-03-21,Eastern Cape,1.0,1.0
2020-03-22,Eastern Cape,2.0,1.0
2020-03-23,Eastern Cape,2.0,0.0
2020-03-24,Eastern Cape,2.0,0.0
2020-03-25,Eastern Cape,2.0,0.0
2020-03-26,Eastern Cape,5.0,3.0
2020-03-28,Eastern Cape,10.0,5.0
2020-03-29,Eastern Cape,12.0,2.0
2020-03-30,Eastern Cape,12.0,0.0
2020-03-31,Eastern Cape,12.0,0.0
2020-04-01,Eastern Cape,15.0,3.0
2020-04-02,Eastern Cape,17.0,2.0
2020-04-03,Eastern Cape,21.0,4.0
2020-04-04,Eastern Cape,25.0,4.0
2020-04-05,Eastern Cape,31.0,6.0
2020-04-06,Eastern Cape,32.0,1.0
2020-04-08,Eastern Cape,45.0,13.0
2020-04-09,Eastern Cape,61.0,16.0
2020-04-10,Eastern Cape,68.0,7.0
2020-04-11,Eastern Cape,69.0,1.0
2020-04-12,Eastern Cape,88.0,19.0
2020-04-13,Eastern Cape,104.0,16.0
2020-03-05,Free State,0.0,0.0
2020-03-07,Free State,0.0,0.0
2020-03-08,Free State,0.0,0.0
2020-03-09,Free State,0.0,0.0
2020-03-11,Free State,0.0,0.0
2020-03-12,Free State,0.0,0.0
2020-03-13,Free State,0.0,0.0
2020-03-14,Free State,0.0,0.0
2020-03-15,Free State,0.0,0.0
2020-03-16,Free State,0.0,0.0
2020-03-17,Free State,0.0,0.0
2020-03-18,Free State,0.0,0.0
2020-03-19,Free State,0.0,0.0
2020-03-20,Free State,7.0,7.0
2020-03-21,Free State,7.0,0.0
2020-03-22,Free State,9.0,2.0
2020-03-23,Free State,13.0,4.0
2020-03-24,Free State,18.0,5.0
2020-03-25,Free State,30.0,12.0
2020-03-26,Free State,49.0,19.0
2020-03-28,Free State,68.0,19.0
2020-03-29,Free State,72.0,4.0
2020-03-30,Free State,72.0,0.0
2020-03-31,Free State,74.0,2.0
2020-04-01,Free State,76.0,2.0
2020-04-02,Free State,84.0,8.0
2020-04-03,Free State,84.0,0.0
2020-04-04,Free State,85.0,1.0
2020-04-05,Free State,87.0,2.0
2020-04-06,Free State,89.0,2.0
2020-04-08,Free State,88.0,-1.0
2020-04-09,Free State,93.0,5.0
2020-04-10,Free State,94.0,1.0
2020-04-11,Free State,94.0,0.0
2020-04-12,Free State,96.0,2.0
2020-04-13,Free State,96.0,0.0
2020-03-05,Gauteng,0.0,0.0
2020-03-07,Gauteng,1.0,1.0
2020-03-08,Gauteng,1.0,0.0
2020-03-09,Gauteng,1.0,0.0
2020-03-11,Gauteng,5.0,4.0
2020-03-12,Gauteng,6.0,1.0
2020-03-13,Gauteng,10.0,4.0
2020-03-14,Gauteng,17.0,7.0
2020-03-15,Gauteng,24.0,7.0
2020-03-16,Gauteng,31.0,7.0
2020-03-17,Gauteng,45.0,14.0
2020-03-18,Gauteng,61.0,16.0
2020-03-19,Gauteng,76.0,15.0
2020-03-20,Gauteng,109.0,33.0
2020-03-21,Gauteng,125.0,16.0
2020-03-22,Gauteng,132.0,7.0
2020-03-23,Gauteng,207.0,75.0
2020-03-24,Gauteng,302.0,95.0
2020-03-25,Gauteng,319.0,17.0
2020-03-26,Gauteng,409.0,90.0
2020-03-28,Gauteng,533.0,124.0
2020-03-29,Gauteng,584.0,51.0
2020-03-30,Gauteng,618.0,34.0
2020-03-31,Gauteng,633.0,15.0
2020-04-01,Gauteng,645.0,12.0
2020-04-02,Gauteng,663.0,18.0
2020-04-03,Gauteng,672.0,9.0
2020-04-04,Gauteng,693.0,21.0
2020-04-05,Gauteng,704.0,11.0
2020-04-06,Gauteng,713.0,9.0
2020-04-08,Gauteng,782.0,69.0
2020-04-09,Gauteng,795.0,13.0
2020-04-10,Gauteng,801.0,6.0
2020-04-11,Gauteng,813.0,12.0
2020-04-12,Gauteng,865.0,52.0
2020-04-13,Gauteng,890.0,25.0
