date,EC,FS,GP,KZN,LP,MP,NC,NW,WC,UNKNOWN
05-03-2020,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
07-03-2020,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
08-03-2020,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
09-03-2020,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
11-03-2020,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0
12-03-2020,0.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0
13-03-2020,0.0,0.0,10.0,10.0,0.0,1.0,0.0,0.0,3.0,0.0
14-03-2020,0.0,0.0,17.0,11.0,0.0,1.0,0.0,0.0,9.0,0.0
15-03-2020,0.0,0.0,24.0,12.0,0.0,1.0,0.0,0.0,14.0,0.0
16-03-2020,0.0,0.0,31.0,12.0,1.0,2.0,0.0,0.0,16.0,0.0
17-03-2020,0.0,0.0,45.0,16.0,1.0,2.0,0.0,0.0,21.0,0.0
18-03-2020,0.0,0.0,61.0,19.0,1.0,4.0,0.0,0.0,31.0,0.0
19-03-2020,0.0,0.0,76.0,22.0,1.0,5.0,0.0,0.0,46.0,0.0
20-03-2020,0.0,7.0,109.0,23.0,1.0,5.0,0.0,0.0,57.0,0.0
21-03-2020,1.0,7.0,125.0,26.0,1.0,5.0,0.0,0.0,75.0,0.0
22-03-2020,2.0,9.0,132.0,35.0,2.0,5.0,0.0,0.0,89.0,0.0
23-03-2020,2.0,13.0,207.0,60.0,4.0,9.0,2.0,4.0,100.0,1.0
24-03-2020,2.0,18.0,302.0,80.0,4.0,9.0,2.0,5.0,113.0,19.0
25-03-2020,2.0,30.0,319.0,91.0,4.0,8.0,2.0,5.0,183.0,65.0
26-03-2020,5.0,49.0,409.0,134.0,6.0,9.0,2.0,5.0,229.0,79.0
28-03-2020,10.0,68.0,533.0,156.0,11.0,10.0,5.0,6.0,271.0,117.0
29-03-2020,12.0,72.0,584.0,167.0,12.0,11.0,6.0,6.0,310.0,100.0
30-03-2020,12.0,72.0,618.0,171.0,11.0,11.0,3.0,8.0,324.0,96.0
31-03-2020,12.0,74.0,633.0,179.0,14.0,12.0,6.0,8.0,325.0,90.0
01-04-2020,15.0,76.0,645.0,186.0,14.0,12.0,7.0,9.0,326.0,90.0
02-04-2020,17.0,84.0,663.0,206.0,16.0,13.0,7.0,9.0,353.0,94.0
03-04-2020,21.0,84.0,672.0,215.0,16.0,13.0,7.0,9.0,374.0,94.0
04-04-2020,25.0,85.0,693.0,232.0,18.0,18.0,7.0,11.0,433.0,63.0
05-04-2020,31.0,87.0,704.0,246.0,19.0,18.0,8.0,11.0,454.0,77.0
06-04-2020,32.0,89.0,713.0,257.0,19.0,18.0,8.0,11.0,462.0,77.0
08-04-2020,45.0,88.0,782.0,354.0,21.0,21.0,13.0,15.0,495.0,11.0
09-04-2020,61.0,93.0,795.0,387.0,22.0,20.0,15.0,15.0,515.0,11.0
10-04-2020,68.0,94.0,801.0,412.0,24.0,20.0,15.0,18.0,541.0,10.0
11-04-2020,69.0,94.0,813.0,418.0,23.0,20.0,16.0,19.0,546.0,10.0
12-04-2020,88.0,96.0,865.0,443.0,23.0,21.0,16.0,19.0,587.0,15.0
13-04-2020,104.0,96.0,890.0,465.0,23.0,22.0,16.0,22.0,617.0,17.0
14-04-2020,174.0,98.0,909.0,489.0,24.0,22.0,16.0,22.0,643.0,18.0
15-04-2020,199.0,97.0,930.0,519.0,25.0,22.0,16.0,23.0,657.0,18.0
16-04-2020,220.0,98.0,969.0,539.0,26.0,22.0,16.0,24.0,675.0,16.0
17-04-2020,246.0,100.0,1018.0,591.0,26.0,23.0,16.0,24.0,717.0,22.0
18-04-2020,270.0,100.0,1101.0,604.0,26.0,25.0,16.0,24.0,836.0,32.0
19-04-2020,293.0,100.0,1148.0,617.0,27.0,23.0,16.0,24.0,868.0,42.0
20-04-2020,310.0,105.0,1170.0,639.0,27.0,23.0,18.0,25.0,940.0,43.0
21-04-2020,345.0,106.0,1199.0,671.0,27.0,24.0,16.0,24.0,1010.0,43.0
22-04-2020,377.0,106.0,1224.0,758.0,27.0,23.0,16.0,24.0,1079.0,1.0
23-04-2020,417.0,106.0,1252.0,807.0,27.0,23.0,16.0,25.0,1279.0,1.0
24-04-2020,480.0,111.0,1281.0,841.0,29.0,24.0,16.0,25.0,1413.0,0.0
25-04-2020,488.0,111.0,1304.0,841.0,30.0,23.0,16.0,28.0,1514.0,0.0
26-04-2020,535.0,110.0,1331.0,863.0,31.0,23.0,17.0,28.0,1608.0,0.0
27-04-2020,588.0,111.0,1353.0,902.0,31.0,26.0,17.0,31.0,1737.0,0.0
28-04-2020,616.0,113.0,1377.0,919.0,31.0,26.0,17.0,29.0,1870.0,0.0
29-04-2020,630.0,113.0,1408.0,956.0,31.0,31.0,17.0,29.0,2135.0,0.0
30-04-2020,647.0,116.0,1446.0,980.0,32.0,36.0,17.0,31.0,2342.0,0.0
01-05-2020,691.0,118.0,1507.0,1006.0,34.0,35.0,18.0,35.0,2507.0,0.0
02-05-2020,732.0,121.0,1598.0,1051.0,36.0,40.0,23.0,35.0,2700.0,0.0
03-05-2020,774.0,122.0,1624.0,1076.0,37.0,46.0,24.0,36.0,3044.0,0.0
04-05-2020,814.0,125.0,1651.0,1106.0,39.0,53.0,25.0,35.0,3362.0,0.0
