date,cumulative_cases,daily_cases
2020-03-05,112,112.0
2020-03-07,133,21.0
2020-03-08,145,12.0
2020-03-09,158,13.0
2020-03-11,188,30.0
2020-03-12,206,18.0
2020-03-13,224,18.0
2020-03-14,245,21.0
2020-03-15,267,22.0
2020-03-16,292,25.0
2020-03-17,318,26.0
2020-03-18,347,29.0
2020-03-19,379,32.0
2020-03-20,414,35.0
2020-03-21,451,37.0
2020-03-22,492,41.0
2020-03-23,537,45.0
2020-03-24,586,49.0
2020-03-25,640,54.0
2020-03-26,698,58.0
2020-03-27,762,64.0
2020-03-28,831,69.0
2020-03-29,907,76.0
2020-03-30,990,83.0
2020-03-31,1080,90.0
2020-04-01,1179,99.0
2020-04-02,1287,108.0
2020-04-03,1404,117.0
2020-04-04,1532,128.0
2020-04-05,1672,140.0
2020-04-06,1824,152.0
2020-04-07,1991,167.0
2020-04-08,2172,181.0
2020-04-09,2370,198.0
2020-04-10,2587,217.0
2020-04-11,2823,236.0
2020-04-12,3080,257.0
2020-04-13,3361,281.0
2020-04-14,3668,307.0
2020-04-15,4002,334.0
