Province,Cases,New Cases,Recoveries,New Recoveries,Deaths,New Deaths
Eastern Cape,187552,381,173575,952,9612,102
Free State,71237,346,59268,1203,2493,20
Gauteng,366432,2163,322434,6452,7057,48
KwaZulu-Natal,287042,3866,226342,11544,6672,263
Limpopo,49012,854,40232,471,977,238
Mpumalanga,54678,835,46394,1168,808,11
Northern Cape,29894,137,24734,79,511,2
North West,51771,224,37418,125,808,25
Western Cape,259098,974,214460,5411,9350,130
Unknown,0,0,0,0,0,0
Total,1356716,9780,1144857,27405,38288,839
