date,YYYYMMDD,EC,FS,GP,KZN,LP,MP,NC,NW,WC,UNKNOWN,total,source
17-04-2020,,9,71,479,96,18,9,10,6,205,0,,https://twitter.com/nicd_sa/status/1251215194765832194/photo/1
18-04-2020,,9,71,479,96,18,9,10,6,205,0,,https://twitter.com/nicd_sa/status/1251595223534362625/photo/1
19-04-2020,,9,71,479,96,18,9,10,6,205,0,,https://twitter.com/nicd_sa/status/1251927055224143875/photo/1
20-04-2020,,15,74,545,151,21,14,13,6,216,0,,https://twitter.com/nicd_sa/status/1252309824412561408/photo/1
21-04-2020,,15,74,545,151,21,14,13,6,216,0,,https://twitter.com/nicd_sa/status/1252643555690061824/photo/1
22-04-2020,,15,74,545,151,21,14,13,6,216,0,,https://twitter.com/nicd_sa/status/1253033502930604032/photo/1
23-04-2020,,19,76,843,241,24,15,13,6,236,0,,https://twitter.com/nicd_sa/status/1253374043111272450/photo/1
24-04-2020,,19,76,843,241,24,15,13,6,236,0,,https://twitter.com/nicd_sa/status/1253769210301427713/photo/1
25-04-2020,,19,76,843,241,24,15,13,6,236,0,,https://twitter.com/nicd_sa/status/1254115548125900800/photo/1
26-04-2020,,19,76,843,241,24,15,13,6,236,0,,https://twitter.com/nicd_sa/status/1254483257514692610/photo/1
27-04-2020,,19,76,843,241,24,15,13,6,236,0,,https://twitter.com/nicd_sa/status/1254860200126738432/photo/1
28-04-2020,,19,76,843,241,24,15,13,6,236,0,,https://twitter.com/nicd_sa/status/1255208067551170564/photo/1
02-05-2020,,275,96,948,375,25,18,20,13,779,0,,https://twitter.com/nicd_sa/status/1256648954743345152/photo/1
03-05-2020,,275,96,948,375,25,18,20,13,779,0,,https://twitter.com/nicd_sa/status/1257006165889880069/photo/1
04-05-2020,,341,96,979,415,27,22,20,13,833,0,,https://twitter.com/nicd_sa/status/1257381526964187137/photo/1
05-05-2020,,341,96,979,415,27,22,20,13,833,0,,https://twitter.com/nicd_sa/status/1257760876435734528/photo/1
06-05-2020,,388,102,1036,420,27,22,20,16,1122,0,,https://twitter.com/nicd_sa/status/1258133447106801666/photo/1
07-05-2020,,388,102,1036,420,27,22,20,16,1122,0,,https://twitter.com/nicd_sa/status/1258467153717714947/photo/1
08-05-2020,,388,102,1036,420,27,22,20,16,1122,0,,https://twitter.com/nicd_sa/status/1258851899979239424/photo/1
10-05-2020,,519,105,1247,606,28,22,23,16,1607,0,,https://twitter.com/nicd_sa/status/1259559705581625345/photo/1
